xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
zombie_vending_nuke_on,1.56,6059,28.92,23.47,91.87,62373.07,1
zombie_vending_nuke,1.82,3919,28.92,23.47,91.87,62373.07,1
zombie_vending_tombstone_on,5.17,3901,53.50,30.23,112.77,182428.83,1
zombie_vending_tombstone,5.17,3901,53.50,30.23,112.77,182428.83,1
p6_zm_vending_electric_cherry,5.20,3651,42.31,42.28,75.15,134428.95,1
p6_zm_vending_electric_cherry_on,5.20,3651,42.31,42.28,75.15,134428.91,1
p6_zm_vending_vultureaid,3.59,3534,48.93,26.10,93.58,119507.22,1
p6_zm_vending_vultureaid_on,3.59,3534,48.93,26.10,93.58,119507.22,1
p6_zm_vending_chugabud_on,6.82,3494,65.00,67.31,109.89,480779.22,1
p6_zm_vending_chugabud,6.82,3494,65.00,67.31,109.89,480779.22,1
veh_t7_civ_truck_med_attch_util_bumper02_sing,2.93,3226,26.83,98.46,52.37,138344.08,2
wpn_t7_zmb_perk_bottle_bear_world,0.23,1422,3.34,3.33,12.38,137.45,1
t6_wpn_zmb_perk_bottle_tombstone_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_whoswho_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_nuke_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_vulture_view,0.26,1072,3.66,3.66,13.42,179.73,1
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
veh_t7_civ_truck_med_attch_util_bumper01_sing_aband,8.31,571,16.70,108.43,46.35,83946.15,2
t6_wpn_zmb_perk_bottle_nuke_world,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_whoswho_world,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_tombstone_world1,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_vulture_world,0.37,368,3.66,3.66,13.42,179.74,1
p7_cart_janitor_plastic,30.61,364,63.56,27.28,53.91,93461.22,1
p7_eth_rock_park_01_wall_b,2.32,338,30.22,6.81,9.80,2016.76,12
p7_sin_trashcan_wood,25.85,316,33.00,33.00,48.01,52282.89,2
p7_zm_zod_pastry_cart_wheel,3.33,288,24.00,3.34,24.00,1921.59,9
p7_cai_chair_lounge_greek,19.62,286,33.40,28.64,44.18,42263.77,3
p7_zm_zod_pastry_cart_devil_red,35.96,274,55.94,37.92,49.00,103928.25,5
p7_monitor_wall_safehouse_01_flat_nrc_desktop,39.69,274,91.69,7.01,46.01,29573.79,2
veh_t7_civ_truck_med_wheel_back_util_attch,21.22,266,42.36,30.39,42.36,54536.18,3
veh_t7_civ_truck_med_wheel_back_util_attch_sing_aband,21.22,266,42.36,30.39,42.36,54536.18,3
p7_bio_door_wood_lt,45.90,260,55.37,12.34,95.00,64909.34,4
p7_bio_door_wood_rt,45.90,260,55.37,12.34,95.00,64909.34,1
p7_toilet_bathroom_open,15.75,251,23.78,34.46,36.67,30055.95,2
veh_t7_civ_truck_med_attch_util_topattach02_sing_aband,41.29,212,241.92,109.17,100.65,2658266.50,2
p7_barricade_metal_gate_02_black,48.50,208,131.83,2.50,64.01,21095.15,3
p7_barricade_metal_gate_02,48.50,208,131.83,2.50,64.01,21095.15,2
p7_aqu_railings_set_metal_256,36.80,204,5.43,256.00,32.00,44498.60,9
veh_t7_civ_truck_med_wheel_front_util_attch,19.37,196,42.36,15.30,42.36,27466.31,3
veh_t7_civ_truck_med_wheel_front_util_attch_sing_aband,19.37,196,42.36,15.30,42.36,27466.31,3
p7_cart_utility_electric_01_steering_wheel,2.72,196,19.02,14.71,40.92,11444.89,2
p7_sink_ceramic_old_01,24.55,184,36.00,23.00,34.50,28569.44,7
